onset	duration	trial_type	value	sample
6.41	1.0	NonTarget	1	3205
6.552	1.0	NonTarget	1	3276
6.694	1.0	NonTarget	1	3347
6.836	1.0	NonTarget	1	3418
6.978	1.0	Target	2	3489
7.12	1.0	NonTarget	1	3560
7.26	1.0	NonTarget	1	3630
7.402	1.0	NonTarget	1	3701
7.544	1.0	NonTarget	1	3772
7.686	1.0	Target	2	3843
7.828	1.0	NonTarget	1	3914
7.97	1.0	NonTarget	1	3985
8.112	1.0	NonTarget	1	4056
8.254	1.0	NonTarget	1	4127
8.396	1.0	NonTarget	1	4198
8.538	1.0	NonTarget	1	4269
8.678	1.0	NonTarget	1	4339
8.82	1.0	Target	2	4410
8.962	1.0	NonTarget	1	4481
9.104	1.0	Target	2	4552
9.246	1.0	NonTarget	1	4623
9.388	1.0	NonTarget	1	4694
9.53	1.0	NonTarget	1	4765
9.672	1.0	NonTarget	1	4836
9.814	1.0	NonTarget	1	4907
9.956	1.0	Target	2	4978
10.098	1.0	NonTarget	1	5049
10.24	1.0	NonTarget	1	5120
10.38	1.0	NonTarget	1	5190
10.522	1.0	NonTarget	1	5261
10.664	1.0	NonTarget	1	5332
10.806	1.0	NonTarget	1	5403
10.948	1.0	NonTarget	1	5474
11.09	1.0	NonTarget	1	5545
11.232	1.0	NonTarget	1	5616
11.374	1.0	Target	2	5687
11.516	1.0	NonTarget	1	5758
11.656	1.0	NonTarget	1	5828
11.798	1.0	Target	2	5899
11.94	1.0	NonTarget	1	5970
12.082	1.0	NonTarget	1	6041
12.224	1.0	NonTarget	1	6112
12.366	1.0	NonTarget	1	6183
12.508	1.0	NonTarget	1	6254
12.65	1.0	NonTarget	1	6325
12.792	1.0	NonTarget	1	6396
12.934	1.0	NonTarget	1	6467
13.076	1.0	Target	2	6538
13.216	1.0	NonTarget	1	6608
13.358	1.0	NonTarget	1	6679
13.5	1.0	NonTarget	1	6750
13.642	1.0	NonTarget	1	6821
13.784	1.0	NonTarget	1	6892
13.926	1.0	Target	2	6963
14.068	1.0	NonTarget	1	7034
14.21	1.0	NonTarget	1	7105
14.352	1.0	Target	2	7176
14.494	1.0	NonTarget	1	7247
14.634	1.0	NonTarget	1	7317
14.776	1.0	NonTarget	1	7388
